project_id,seed,best_team_contains_synthetic_profile,synthetic_profile_count
P1,1,False,0
P1,2,False,0
P1,3,False,0
P1,4,False,0
P1,5,False,0
P1,6,False,0
P1,7,False,0
P1,8,False,0
P1,9,False,0
P1,10,False,0
P1,11,False,0
P1,12,False,0
P1,13,False,0
P1,14,False,0
P1,15,False,0
P1,16,False,0
P1,17,False,0
P1,18,False,0
P1,19,False,0
P1,20,False,0
P1,21,False,0
P1,22,False,0
P1,23,False,0
P1,24,False,0
P1,25,False,0
P1,26,False,0
P1,27,False,0
P1,28,False,0
P1,29,False,0
P1,30,False,0
P2,1,False,0
P2,2,False,0
P2,3,False,0
P2,4,False,0
P2,5,False,0
P2,6,False,0
P2,7,False,0
P2,8,False,0
P2,9,False,0
P2,10,False,0
P2,11,False,0
P2,12,False,0
P2,13,False,0
P2,14,False,0
P2,15,False,0
P2,16,False,0
P2,17,False,0
P2,18,False,0
P2,19,False,0
P2,20,False,0
P2,21,False,0
P2,22,False,0
P2,23,False,0
P2,24,False,0
P2,25,False,0
P2,26,False,0
P2,27,False,0
P2,28,False,0
P2,29,False,0
P2,30,False,0
P3,1,False,0
P3,2,False,0
P3,3,False,0
P3,4,False,0
P3,5,False,0
P3,6,False,0
P3,7,False,0
P3,8,False,0
P3,9,False,0
P3,10,False,0
P3,11,False,0
P3,12,False,0
P3,13,False,0
P3,14,False,0
P3,15,False,0
P3,16,False,0
P3,17,False,0
P3,18,False,0
P3,19,False,0
P3,20,False,0
P3,21,False,0
P3,22,False,0
P3,23,False,0
P3,24,False,0
P3,25,False,0
P3,26,False,0
P3,27,False,0
P3,28,False,0
P3,29,False,0
P3,30,False,0
P4,1,False,0
P4,2,False,0
P4,3,False,0
P4,4,False,0
P4,5,False,0
P4,6,False,0
P4,7,False,0
P4,8,False,0
P4,9,False,0
P4,10,False,0
P4,11,False,0
P4,12,False,0
P4,13,False,0
P4,14,False,0
P4,15,False,0
P4,16,False,0
P4,17,False,0
P4,18,False,0
P4,19,False,0
P4,20,False,0
P4,21,False,0
P4,22,False,0
P4,23,False,0
P4,24,False,0
P4,25,False,0
P4,26,False,0
P4,27,False,0
P4,28,False,0
P4,29,False,0
P4,30,False,0
P5,1,False,0
P5,2,False,0
P5,3,False,0
P5,4,False,0
P5,5,False,0
P5,6,False,0
P5,7,False,0
P5,8,False,0
P5,9,False,0
P5,10,False,0
P5,11,False,0
P5,12,False,0
P5,13,False,0
P5,14,False,0
P5,15,False,0
P5,16,False,0
P5,17,False,0
P5,18,False,0
P5,19,False,0
P5,20,False,0
P5,21,False,0
P5,22,False,0
P5,23,False,0
P5,24,False,0
P5,25,False,0
P5,26,False,0
P5,27,False,0
P5,28,False,0
P5,29,False,0
P5,30,False,0
P6,1,False,0
P6,2,False,0
P6,3,False,0
P6,4,False,0
P6,5,False,0
P6,6,False,0
P6,7,False,0
P6,8,False,0
P6,9,False,0
P6,10,False,0
P6,11,False,0
P6,12,False,0
P6,13,False,0
P6,14,False,0
P6,15,False,0
P6,16,False,0
P6,17,False,0
P6,18,False,0
P6,19,False,0
P6,20,False,0
P6,21,False,0
P6,22,False,0
P6,23,False,0
P6,24,False,0
P6,25,False,0
P6,26,False,0
P6,27,False,0
P6,28,False,0
P6,29,False,0
P6,30,False,0
P7,1,False,0
P7,2,False,0
P7,3,False,0
P7,4,False,0
P7,5,False,0
P7,6,False,0
P7,7,False,0
P7,8,False,0
P7,9,False,0
P7,10,False,0
P7,11,False,0
P7,12,False,0
P7,13,False,0
P7,14,False,0
P7,15,False,0
P7,16,False,0
P7,17,False,0
P7,18,False,0
P7,19,False,0
P7,20,False,0
P7,21,False,0
P7,22,False,0
P7,23,False,0
P7,24,False,0
P7,25,False,0
P7,26,False,0
P7,27,False,0
P7,28,False,0
P7,29,False,0
P7,30,False,0
P8,1,False,0
P8,2,False,0
P8,3,False,0
P8,4,False,0
P8,5,False,0
P8,6,False,0
P8,7,False,0
P8,8,False,0
P8,9,False,0
P8,10,False,0
P8,11,False,0
P8,12,False,0
P8,13,False,0
P8,14,False,0
P8,15,False,0
P8,16,False,0
P8,17,False,0
P8,18,False,0
P8,19,False,0
P8,20,False,0
P8,21,False,0
P8,22,False,0
P8,23,False,0
P8,24,False,0
P8,25,False,0
P8,26,False,0
P8,27,False,0
P8,28,False,0
P8,29,False,0
P8,30,False,0
P9,1,False,0
P9,2,False,0
P9,3,False,0
P9,4,False,0
P9,5,False,0
P9,6,False,0
P9,7,False,0
P9,8,False,0
P9,9,False,0
P9,10,False,0
P9,11,False,0
P9,12,False,0
P9,13,False,0
P9,14,False,0
P9,15,False,0
P9,16,False,0
P9,17,False,0
P9,18,False,0
P9,19,False,0
P9,20,False,0
P9,21,False,0
P9,22,False,0
P9,23,False,0
P9,24,False,0
P9,25,False,0
P9,26,False,0
P9,27,False,0
P9,28,False,0
P9,29,False,0
P9,30,False,0
P10,1,False,0
P10,2,False,0
P10,3,False,0
P10,4,False,0
P10,5,False,0
P10,6,False,0
P10,7,False,0
P10,8,False,0
P10,9,False,0
P10,10,False,0
P10,11,False,0
P10,12,False,0
P10,13,False,0
P10,14,False,0
P10,15,False,0
P10,16,False,0
P10,17,False,0
P10,18,False,0
P10,19,False,0
P10,20,False,0
P10,21,False,0
P10,22,False,0
P10,23,False,0
